App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,reviews_int,size_int,installs_int,price_int
Pixel Art: Color by Number Game,GAME,4.7,1125438,25M,"10,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up,1533.0,42000000.0,50000.0,11.99
Satellite Director,TOOLS,4.1,45610,176k,"10,000,000+",Free,0,Everyone,Tools,"January 2, 2018",1.56,1.6 and up,3258.0,26000000.0,500000.0,0.0
Notepad,PRODUCTIVITY,4.2,80581,2.5M,"10,000,000+",Free,0,Everyone,Productivity,"October 16, 2016",2.4,2.3 and up,3697174.0,36000000.0,50000000.0,0.0
GO Launcher - 3D parallax Themes & HD Wallpapers,PERSONALIZATION,4.5,7464996,Varies with device,"100,000,000+",Free,0,Everyone,Personalization,"August 3, 2018",Varies with device,Varies with device,42329.0,0.0,5000000.0,0.0
Police Car Driving Sim,FAMILY,4.1,72522,51M,"10,000,000+",Free,0,Everyone,Simulation,"April 10, 2018",1.54,2.3.3 and up,,,,
Photo BG Changer,PHOTOGRAPHY,3.8,11,17M,"1,000+",Free,0,Everyone,Photography,"February 21, 2018",1.3,4.1 and up,36.0,10000000.0,1000.0,0.0
Happy Birthday Songs Offline,EVENTS,4.4,464,8.9M,"100,000+",Free,0,Everyone,Events,"December 4, 2017",1.3,4.1 and up,90242.0,19000000.0,5000000.0,0.0
ek tuhi,VIDEO_PLAYERS,4.7,316,2.8M,"10,000+",Free,0,Everyone,Video Players & Editors,"July 4, 2014",1.0,4.0 and up,,,,
Video Downloader for FB : Video Download with Link,VIDEO_PLAYERS,4.5,1060,3.2M,"100,000+",Free,0,Everyone,Video Players & Editors,"December 20, 2017",2.1,4.0 and up,,,,
Gaode Map,TRAVEL_AND_LOCAL,3.9,13275,71M,"1,000,000+",Free,0,Everyone,Travel & Local,"July 3, 2018",8.60.0.2586,4.0 and up,355921.0,17000000.0,10000000.0,0.0
Czech Public Transport IDOS,MAPS_AND_NAVIGATION,4.3,26014,7.7M,"1,000,000+",Free,0,Everyone,Maps & Navigation,"November 6, 2017",2.4.1,4.0.3 and up,216.0,5700000.0,50000.0,0.0
AC Remote for Sharp - NOW FREE,TOOLS,3.7,332,26M,"50,000+",Free,0,Everyone,Tools,"July 30, 2018",6.1.7,4.2 and up,98.0,6300000.0,10000.0,0.0
The Walking Zombie: Dead City,GAME,4.6,58575,96M,"1,000,000+",Free,0,Teen,Action,"February 21, 2018",2.55,4.1 and up,4.0,15000000.0,500.0,0.0
BC Pizza,LIFESTYLE,2.3,3,2.6M,500+,Free,0,Everyone,Lifestyle,"January 12, 2016",1.0,4.2 and up,26.0,7200000.0,500.0,0.0
FG VOC,BUSINESS,4.8,6,7.7M,"1,000+",Free,0,Everyone,Business,"August 7, 2018",2.1.5,4.1 and up,,,,
Learn to code with el Chavo,FAMILY,3.9,5933,60M,"1,000,000+",Free,0,Everyone,Educational,"March 27, 2018",2.6,4.1 and up,,,,
Dr Driving Racer,GAME,4.3,183,68M,"10,000+",Free,0,Everyone,Racing,"June 14, 2018",2.1,4.1 and up,153176.0,4300000.0,10000000.0,0.0
Dream EZ,HEALTH_AND_FITNESS,4.1,107,50M,"10,000+",Free,0,Everyone,Health & Fitness,"March 24, 2016",1.0.0,3.0 and up,,,,
CA Laws 2018 (California Laws and Codes),BOOKS_AND_REFERENCE,3.9,56,38M,"5,000+",Free,0,Everyone,Books & Reference,"March 24, 2018",1.17,4.4 and up,38607.0,2900000.0,1000000.0,0.0
Collage&Add Stickers papelook,PHOTOGRAPHY,4.0,32896,31M,"5,000,000+",Free,0,Everyone,Photography,"March 14, 2018",3.3.5,2.3.3 and up,205191.0,7100000.0,10000000.0,0.0
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111455,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device,4921122.0,0.0,100000000.0,0.0
Nike Training Club - Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,251534,93M,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 18, 2018",5.14.0,5.0 and up,23164.0,10000000.0,1000000.0,0.0
One Today by Google,LIFESTYLE,4.5,2586,9.4M,"100,000+",Free,0,Everyone,Lifestyle,"December 17, 2015",1.9.0.110162364,4.0.3 and up,42069.0,0.0,1000000.0,0.0
"Peers.TV: broadcast TV channels First, Match TV, TNT ...",ENTERTAINMENT,4.1,141980,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 30, 2018",Varies with device,Varies with device,510392.0,79000000.0,10000000.0,0.0
SA HLA BU,BOOKS_AND_REFERENCE,4.7,119,1.5M,"1,000+",Free,0,Everyone,Books & Reference,"September 21, 2017",1.0,4.1 and up,29.0,2300000.0,5000.0,0.0
DF Coaching,SPORTS,4.0,1,3.6M,100+,Free,0,Everyone,Sports,"May 24, 2018",1.0.1,4.1 and up,5.0,2500000.0,100.0,1.49
Five Nights at Pizzeria,GAME,3.5,1976,21M,"100,000+",Free,0,Teen,Action,"March 3, 2018",1.6,4.1 and up,67186.0,6300000.0,1000000.0,0.0
Quiz TRUE or FALSE,GAME,4.6,2464,34M,"50,000+",Free,0,Everyone,Trivia,"February 13, 2018",1.1,4.1 and up,4.0,13000000.0,100.0,0.0
Vote for,VIDEO_PLAYERS,4.2,193381,17M,"50,000,000+",Free,0,Teen,Video Players & Editors,"August 3, 2018",1.78,4.0.3 and up,16.0,8900000.0,500.0,1.99
Florida Blue,HEALTH_AND_FITNESS,3.2,499,34M,"100,000+",Free,0,Everyone,Health & Fitness,"July 10, 2018",4.2.1,7.0 and up,,,,
DG Surveyor,BUSINESS,3.6,5,6.8M,50+,Paid,$8.99,Everyone,Business,"April 30, 2018",6.00,4.0.3 and up,626.0,1200000.0,100000.0,0.0
I Know Stuff,GAME,4.2,214923,Varies with device,"5,000,000+",Free,0,Everyone,Trivia,"July 31, 2018",9.1.3,4.1 and up,,,,
Wayfair - Shop All Things Home,SHOPPING,4.5,20247,47M,"5,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",4.70.30,4.1 and up,597.0,17000000.0,100000.0,0.0
Aviary Effects: Classic,LIBRARIES_AND_DEMO,3.8,67007,232k,"5,000,000+",Free,0,Everyone,Libraries & Demo,"March 6, 2013",1.2.0,2.2 and up,168717.0,56000000.0,10000000.0,0.0
Z App,LIFESTYLE,2.8,405,25M,"50,000+",Free,0,Everyone,Lifestyle,"June 22, 2018",4.2.45,4.4 and up,407788.0,19000000.0,5000000.0,0.0
Be My Princess 2,FAMILY,4.3,2806,27M,"100,000+",Free,0,Teen,Entertainment,"March 20, 2018",3.6,2.3 and up,175.0,5500000.0,1000.0,0.99
Madden NFL Football,FAMILY,4.5,1455952,Varies with device,"10,000,000+",Free,0,Everyone,Sports;Action & Adventure,"May 15, 2018",4.3.6,4.0 and up,,,,
My Chakra Meditation,HEALTH_AND_FITNESS,4.4,7586,45M,"500,000+",Free,0,Everyone,Health & Fitness,"April 10, 2018",1.0.6,2.3.3 and up,95736.0,0.0,10000000.0,0.0
Bleacher Report Live,SPORTS,4.0,232,32M,"50,000+",Free,0,Everyone,Sports,"August 1, 2018",2.1.2,5.0 and up,12.0,2400000.0,100.0,1.99
"busuu: Learn Languages - Spanish, English & More",FAMILY,4.3,207294,21M,"10,000,000+",Free,0,Everyone 10+,Education,"August 1, 2018",13.9.0.161,5.0 and up,,,,
Super Sport Car Simulator,FAMILY,4.2,58553,50M,"1,000,000+",Free,0,Everyone,Simulation,"December 25, 2016",3.1,2.3.3 and up,,,,
Google Primer,BUSINESS,4.4,62272,18M,"10,000,000+",Free,0,Everyone,Business,"June 26, 2018",3.550.2,4.1 and up,4034.0,23000.0,100000.0,0.0
Frim: get new friends on local chat rooms,SOCIAL,4.0,88486,Varies with device,"5,000,000+",Free,0,Mature 17+,Social,"March 23, 2018",Varies with device,Varies with device,,,,
WannaMeet – Dating & Chat App,DATING,4.1,6701,11M,"1,000,000+",Free,0,Mature 17+,Dating,"June 29, 2018",5.16.2,4.0.3 and up,10852.0,18000000.0,1000000.0,0.0
Dr. 2048,FAMILY,3.9,1985,3.5M,"500,000+",Free,0,Everyone,Puzzle,"December 30, 2017",1.05,4.1 and up,28.0,15000000.0,5000.0,0.0
AfreecaTV,VIDEO_PLAYERS,3.3,381023,53M,"10,000,000+",Free,0,Everyone,Video Players & Editors,"July 26, 2018",2.7.8,4.0 and up,121533.0,63000000.0,10000000.0,0.0
I am rich (Most expensive app),FINANCE,4.1,129,2.7M,"1,000+",Paid,$399.99,Teen,Finance,"December 6, 2017",2,4.0.3 and up,2312084.0,0.0,100000000.0,0.0
GEM™,TOOLS,4.3,6,33M,500+,Free,0,Everyone,Tools,"July 23, 2018",1.93,5.0 and up,3.0,39000000.0,10.0,0.0
Pacific Navy Fighter C.E. (AS),GAME,4.3,11379,20M,"500,000+",Free,0,Everyone 10+,Arcade,"July 29, 2018",1.4,4.0.3 and up,73.0,14000000.0,10000.0,0.0
Palavras la cq,GAME,3.9,783,3.4M,"100,000+",Free,0,Everyone,Trivia,"October 18, 2014",1.0,2.3.3 and up,1309728.0,0.0,50000000.0,0.0
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up,1439.0,38000000.0,50000.0,0.0
Citi Mobile®,FINANCE,4.0,78306,46M,"5,000,000+",Free,0,Everyone,Finance,"July 31, 2018",9.9.0,4.4 and up,1324.0,4000000.0,100000.0,0.0
Travis CU,FINANCE,2.0,207,2.9M,"10,000+",Free,0,Everyone,Finance,"February 16, 2018",1.0.0.9,4.4 and up,23302.0,12000000.0,5000000.0,0.0
Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6.1M,"1,000,000+",Free,0,Everyone,Books & Reference,"July 19, 2018",7.0.4.6,4.2 and up,70991.0,0.0,5000000.0,0.0
Blood Pressure Info,FAMILY,3.9,174423,7.9M,"10,000,000+",Free,0,Everyone,Entertainment,"August 2, 2018",2.28,4.0 and up,1992.0,24000000.0,50000.0,0.0
Dead Target Zombie Shooting US Sniper Killer Squad,GAME,4.3,240,65M,"50,000+",Free,0,Teen,Action,"October 3, 2017",1.0.2,4.0 and up,,,,
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",Free,0,Everyone,Communication,"July 24, 2018",3.47,4.0.3 and up,4188142.0,16000000.0,100000000.0,0.0
"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11066,9.1M,"500,000+",Free,0,Everyone,Finance,"July 18, 2018",1.1.39,4.0 and up,12858.0,55000000.0,500000.0,0.0
Camera FV-5 Lite,PHOTOGRAPHY,4.0,130063,5.6M,"10,000,000+",Free,0,Everyone,Photography,"November 10, 2017",3.31.4,4.0 and up,97.0,8900000.0,10000.0,0.0
HD Themes Toyota Cruiser 70,PERSONALIZATION,4.5,86,17M,"10,000+",Free,0,Teen,Personalization,"October 2, 2016",1.0,2.3.3 and up,,,,
Ríos de Fe,LIFESTYLE,5.0,141,15M,"1,000+",Free,0,Everyone,Lifestyle,"March 24, 2018",1.8,4.1 and up,,,,
How it Works: FN SCAR assault rifle,FAMILY,4.6,44,45M,"10,000+",Free,0,Everyone,Casual,"January 9, 2018",2.1.9f7,4.0.3 and up,,,,
Hangouts Dialer - Call Phones,COMMUNICATION,4.0,122512,79k,"10,000,000+",Free,0,Everyone,Communication,"September 2, 2015",0.1.100944346,4.0.3 and up,,,,
Third Eye,TOOLS,4.4,19877,4.5M,"1,000,000+",Free,0,Everyone,Tools,"January 7, 2018",1.1.6,4.0 and up,,,,
Q Cat Live Wallpaper,PERSONALIZATION,4.2,4383,7.1M,"500,000+",Free,0,Teen,Personalization,"March 16, 2015",2.7,2.3.3 and up,71.0,5700000.0,500.0,2.49
Free Adblocker Browser - Adblock & Popup Blocker,COMMUNICATION,4.4,152470,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 19, 2018",Varies with device,Varies with device,82.0,8700000.0,5000.0,0.0
"Cymera Camera- Photo Editor, Filter,Collage,Layout",PHOTOGRAPHY,4.4,2418135,Varies with device,"100,000,000+",Free,0,Everyone,Photography,"July 12, 2018",Varies with device,Varies with device,69417.0,853000.0,10000000.0,0.0
Strætó.is,MAPS_AND_NAVIGATION,3.1,742,15M,"100,000+",Free,0,Everyone,Maps & Navigation,"July 9, 2018",5.7,4.1 and up,214.0,1800000.0,10000.0,0.0
BD All Sim Offer,BOOKS_AND_REFERENCE,4.5,197,2.8M,"10,000+",Free,0,Everyone,Books & Reference,"January 3, 2017",1.2,4.1 and up,70.0,0.0,1000.0,0.0
Modern Counter Terrorist FPS Shoot,GAME,4.0,795,41M,"100,000+",Free,0,Teen,Action,"August 29, 2017",1.2,2.3 and up,,,,
Exército Brasileiro,PRODUCTIVITY,4.7,1730,16M,"100,000+",Free,0,Everyone,Productivity,"February 1, 2018",1.5,4.1 and up,,,,
FG On-The-Go,TOOLS,4.9,55,25M,"1,000+",Free,0,Everyone,Tools,"June 29, 2018",2.01.0.2,4.1 and up,,,,
TheFork - Restaurants booking and special offers,FOOD_AND_DRINK,4.3,37517,17M,"5,000,000+",Free,0,Everyone,Food & Drink,"July 20, 2018",11.11.1,4.1 and up,48.0,6900000.0,1000.0,0.0
Ear Agent: Super Hearing,COMMUNICATION,3.7,42329,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"June 4, 2018",Varies with device,Varies with device,125578.0,17000000.0,5000000.0,0.0
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755,14M,"10,000,000+",Free,0,Everyone,Business,"July 11, 2018",3.9.2,4.1 and up,4159.0,48000000.0,500000.0,0.0
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,"10,000+",Paid,$3.99,Mature 17+,Dating,"June 19, 2018",2.6.139,4.1 and up,535.0,28000000.0,100000.0,0.0
Heroes of Dragon Age,GAME,4.2,70389,28M,"1,000,000+",Free,0,Teen,Action,"May 9, 2018",5.3.1,2.3.3 and up,,,,
Beach Head Shooting Assault,GAME,3.8,555,44M,"100,000+",Free,0,Teen,Action,"March 2, 2018",1.0,4.0 and up,,,,
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,$4.99,Everyone,Business,"March 25, 2018",1.5.2,4.0 and up,78662.0,22000000.0,1000000.0,0.0
Tank Stars,GAME,4.3,174755,98M,"10,000,000+",Free,0,Everyone 10+,Arcade,"July 11, 2018",1.1.1,5.0 and up,673203.0,73000000.0,50000000.0,0.0
Ae Allah na Dai (Rasa),BOOKS_AND_REFERENCE,4.7,263,9.1M,"10,000+",Free,0,Everyone,Books & Reference,"January 1, 2015",2.0,2.1 and up,489.0,36000000.0,10000.0,0.0
Free TV series,VIDEO_PLAYERS,3.7,400,7.2M,"100,000+",Free,0,Teen,Video Players & Editors,"May 28, 2018",v1.0.3,4.0.3 and up,4046.0,63000000.0,100000.0,0.0
Eventbrite - Discover popular events & nearby fun,FAMILY,4.4,63773,8.8M,"5,000,000+",Free,0,Everyone,Entertainment,"July 30, 2018",5.7.2,5.0 and up,1507205.0,37000000.0,100000000.0,0.0
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68270,66M,"1,000,000+",Free,0,Everyone,Food & Drink,"June 20, 2018",5.0.0,4.4 and up,89.0,5700000.0,5000.0,0.0
Christella VoiceUp,MEDICAL,4.1,38,70M,"5,000+",Free,0,Everyone,Medical,"July 12, 2018",2.1.4,4.1 and up,42079.0,17000000.0,1000000.0,0.0
EC Taximeter,PRODUCTIVITY,3.9,162,5.0M,"10,000+",Free,0,Everyone,Productivity,"May 14, 2018",3.0.21,4.0 and up,,,,
Download Instant DP (Full HD),TOOLS,4.3,1283,4.4M,"100,000+",Free,0,Everyone,Tools,"August 4, 2018",4.1.0,4.1 and up,67.0,2400000.0,10000.0,2.99
Eh Volevi!,FAMILY,3.9,1619,7.0M,"100,000+",Free,0,Everyone,Entertainment,"October 7, 2017",1.2.1,4.0 and up,,,,
Cardinal Glennon ER Reference,MEDICAL,4.2,19,20M,"1,000+",Free,0,Everyone 10+,Medical,"September 21, 2017",1.8.3,4.1 and up,,,,
True Contact - Real Caller ID,COMMUNICATION,4.1,32283,Varies with device,"1,000,000+",Free,0,Everyone,Communication,"July 26, 2018",Varies with device,Varies with device,42194.0,0.0,5000000.0,0.0
Google Street View,TRAVEL_AND_LOCAL,4.2,2129689,Varies with device,"1,000,000,000+",Free,0,Everyone,Travel & Local,"August 6, 2018",Varies with device,Varies with device,36969.0,27000000.0,1000000.0,0.0
PINKFONG Baby Shark,EDUCATION,4.5,10852,18M,"1,000,000+",Free,0,Everyone,Education,"November 28, 2017",10,4.1 and up,130549.0,0.0,5000000.0,0.0
Microsoft OneNote,PRODUCTIVITY,4.4,480640,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 22, 2018",16.0.10325.20024,4.4 and up,58.0,3000000.0,10000.0,0.0
CV-RECORD Pro,COMMUNICATION,2.3,42,6.0M,"1,000+",Paid,$0.99,Everyone,Communication,"January 12, 2017",1.0.5,4.1 and up,922752.0,0.0,10000000.0,0.0
Archie Comics,COMICS,3.8,5084,6.2M,"100,000+",Free,0,Everyone,Comics,"June 19, 2018",2.2.0,4.3 and up,61600.0,3400000.0,1000000.0,0.0
Local weather Forecast,WEATHER,4.4,5482,12M,"1,000,000+",Free,0,Everyone,Weather,"August 7, 2018",2.42,4.0.3 and up,,,,
DG TV,NEWS_AND_MAGAZINES,5.0,3,5.7M,100+,Free,0,Everyone,News & Magazines,"May 26, 2018",1.2,4.1 and up,40.0,3900000.0,1000.0,0.0
FilterGrid - Cam&Photo Editor,PHOTOGRAPHY,4.6,126337,9.6M,"1,000,000+",Free,0,Everyone,Photography,"March 15, 2017",2.0.5,4.0 and up,102451.0,0.0,10000000.0,0.0
Angry Birds Classic,GAME,4.4,5566805,97M,"100,000,000+",Free,0,Everyone,Arcade,"May 24, 2018",7.9.3,4.1 and up,530854.0,51000000.0,10000000.0,0.0
